generation,energy
507,9.57831e-11
508,9.57831e-11
509,9.57831e-11
510,9.57831e-11
511,9.57831e-11
512,9.57831e-11
513,9.57831e-11
514,9.57831e-11
515,9.57831e-11
516,9.57831e-11
517,9.57831e-11
518,9.57831e-11
519,9.57831e-11
520,9.57831e-11
521,9.57831e-11
522,9.57831e-11
523,9.57831e-11
524,9.57831e-11
525,9.57831e-11
526,9.57831e-11
527,9.57831e-11
528,9.57831e-11
529,9.57831e-11
530,9.57831e-11
531,9.57831e-11
532,9.57831e-11
533,9.57831e-11
534,9.57831e-11
535,9.57831e-11
536,9.57831e-11
537,9.57831e-11
538,9.57831e-11
539,9.57831e-11
540,9.57831e-11
541,9.57831e-11
542,9.57831e-11
543,9.57831e-11
544,9.57831e-11
545,9.57831e-11
546,9.57831e-11
547,9.57831e-11
548,9.57831e-11
549,9.57831e-11
550,9.57831e-11
551,9.57831e-11
552,9.57831e-11
553,9.57831e-11
554,9.57831e-11
555,9.57831e-11
556,9.57831e-11
557,9.57831e-11
558,9.57831e-11
559,9.57831e-11
560,9.57831e-11
561,9.57831e-11
562,9.57831e-11
563,9.57831e-11
564,9.57831e-11
565,9.57831e-11
566,9.57831e-11
567,9.57831e-11
568,9.57831e-11
569,9.57831e-11
570,9.57831e-11
571,9.57831e-11
572,9.57831e-11
573,9.57831e-11
574,9.57831e-11
575,9.57831e-11
576,9.57831e-11
577,9.57831e-11
578,9.57831e-11
579,9.57831e-11
580,9.57831e-11
581,9.57831e-11
582,9.57831e-11
583,9.57831e-11
584,9.57831e-11
585,9.57831e-11
586,9.57831e-11
587,9.57831e-11
588,9.57831e-11
589,9.57831e-11
590,9.57831e-11
591,9.57831e-11
592,9.57831e-11
593,9.57831e-11
594,9.57831e-11
595,9.57831e-11
596,9.57831e-11
597,9.57831e-11
598,9.57831e-11
599,9.57831e-11
600,9.57831e-11
601,9.57831e-11
602,9.57831e-11
603,9.57831e-11
604,9.57831e-11
605,9.57831e-11
606,9.57831e-11
607,9.57831e-11
608,9.57831e-11
609,9.57831e-11
610,9.57831e-11
611,9.57831e-11
612,9.57831e-11
613,9.57831e-11
614,9.57831e-11
615,9.57831e-11
616,9.57831e-11
617,9.57831e-11
618,9.57831e-11
619,9.57831e-11
620,9.57831e-11
621,9.57831e-11
622,9.57831e-11
623,9.57831e-11
624,9.57831e-11
625,9.57831e-11
626,9.57831e-11
627,9.57831e-11
628,9.57831e-11
629,9.57831e-11
630,9.57831e-11
631,9.57831e-11
632,9.57831e-11
633,9.57831e-11
634,9.57831e-11
635,9.57831e-11
636,9.57831e-11
